timestep,reward,waiting_time_veh,mean_waiting_time_veh,waiting_time_peat_total,mean_waiting_time_peat,peatones_esperando,peatones_cruzados_step,colisiones,infracciones,ambulance_waiting
61000,-0.2,101.0,25.25,0.0,0.0,0,0,0,0,0
62000,-0.48,158.0,26.333333333333332,47.0,47.0,1,0,0,2,0
63000,-1.1,438.0,33.69230769230769,0.0,0.0,0,0,0,0,0
64000,4.23,44.0,14.666666666666666,0.0,0.0,0,1,0,0,0
65000,-0.84,449.0,49.888888888888886,22.0,11.0,2,1,0,2,0
66000,-0.32,384.0,42.666666666666664,0.0,0.0,0,0,0,1,0
67000,-0.53,117.0,19.5,311.0,62.2,5,0,0,5,0
68000,0.57,123.0,41.0,54.0,10.8,5,0,0,5,0
69000,-0.37,129.0,32.25,675.0,84.375,8,0,0,8,0
70000,-0.95,288.0,28.8,69.0,34.5,2,0,0,2,0
71000,0.36,90.0,15.0,112.0,56.0,2,0,0,2,0
72000,-1.2,455.0,35.0,20.0,10.0,2,0,0,2,0
73000,-0.51,695.0,46.333333333333336,0.0,0.0,0,0,0,0,0
74000,1.66,96.0,19.2,14.0,7.0,2,0,0,2,0
75000,0.76,190.0,23.75,46.0,46.0,1,1,0,1,0
76000,-0.54,105.0,15.0,29.0,29.0,1,0,0,2,0
77000,-1.15,430.0,35.833333333333336,0.0,0.0,0,3,0,0,0
78000,1.63,69.0,17.25,101.0,25.25,4,0,0,4,0
79000,1.72,156.0,52.0,0.0,0.0,0,2,0,0,0
80000,0.12,73.0,24.333333333333332,31.0,15.5,2,0,0,2,0
81000,-0.89,293.0,29.3,0.0,0.0,0,1,0,0,0
82000,-0.45,88.0,12.571428571428571,366.0,61.0,6,0,0,6,0
83000,0.56,272.0,27.2,0.0,0.0,0,1,0,0,0
84000,-0.53,103.0,17.166666666666668,57.0,57.0,1,0,0,1,0
85000,-0.5,203.0,40.6,82.0,27.333333333333332,3,0,0,3,0
86000,0.26,27.0,9.0,16.0,8.0,2,0,0,3,0
87000,0.07,1.0,1.0,617.0,88.14285714285714,7,0,0,7,0
