episode,reward,waiting_time,steps,avg_queue
376,-38,37.065,200,37.065
377,-38,37.065,200,37.065
378,-38,37.065,200,37.065
379,-38,37.065,200,37.065
380,-38,37.065,200,37.065
381,-52,36.185,200,36.185
382,-38,37.065,200,37.065
383,-38,37.065,200,37.065
384,-38,37.065,200,37.065
385,-38,37.065,200,37.065
386,-42,36.485,200,36.485
387,-38,37.065,200,37.065
388,-38,37.065,200,37.065
389,-38,37.065,200,37.065
390,-38,37.065,200,37.065
391,-38,37.065,200,37.065
392,-38,37.065,200,37.065
393,-38,37.065,200,37.065
394,-50,36.39,200,36.39
395,-42,36.485,200,36.485
396,-100,36.58,200,36.58
397,-100,36.585,200,36.585
398,-38,37.065,200,37.065
399,-42,36.485,200,36.485
400,-38,37.065,200,37.065
401,-68,34.53,200,34.53
402,-42,36.365,200,36.365
403,-86,33.45,200,33.45
404,-38,37.065,200,37.065
405,-42,36.365,200,36.365
406,-70,34.945,200,34.945
407,-42,36.365,200,36.365
408,-42,34.4,200,34.4
409,-38,37.065,200,37.065
410,-42,36.365,200,36.365
411,-38,37.065,200,37.065
412,-52,35.51,200,35.51
413,-46,36.0,200,36.0
414,-38,37.065,200,37.065
415,-38,37.065,200,37.065
416,-100,36.58,200,36.58
417,-38,37.065,200,37.065
418,-74,34.75,200,34.75
419,-38,37.065,200,37.065
420,-88,34.59,200,34.59
421,-38,37.065,200,37.065
422,-64,34.81,200,34.81
423,-84,35.095,200,35.095
424,-42,36.365,200,36.365
425,-50,35.695,200,35.695
426,-42,36.485,200,36.485
427,-38,37.065,200,37.065
428,-54,35.375,200,35.375
429,-62,35.07,200,35.07
430,-38,37.065,200,37.065
431,-42,36.16,200,36.16
432,-38,37.065,200,37.065
433,-62,35.07,200,35.07
434,-38,37.065,200,37.065
435,-52,35.51,200,35.51
436,-42,34.4,200,34.4
437,-50,34.285,200,34.285
438,-110,35.915,200,35.915
439,-42,34.4,200,34.4
440,-42,34.4,200,34.4
441,-54,33.775,200,33.775
442,-42,34.4,200,34.4
443,-50,34.285,200,34.285
444,-90,34.51,200,34.51
445,-116,35.16,200,35.16
446,-124,35.15,200,35.15
447,-42,36.16,200,36.16
448,-62,35.07,200,35.07
449,-176,34.765,200,34.765
450,-54,33.775,200,33.775
451,-42,36.365,200,36.365
452,-42,34.4,200,34.4
453,-38,37.065,200,37.065
454,-74,34.525,200,34.525
455,-50,34.285,200,34.285
456,-38,37.065,200,37.065
457,-38,37.065,200,37.065
458,-38,37.065,200,37.065
459,-38,37.065,200,37.065
460,-38,37.065,200,37.065
461,-38,37.065,200,37.065
462,-38,37.065,200,37.065
463,-42,34.4,200,34.4
464,-42,34.4,200,34.4
465,-38,37.065,200,37.065
466,-108,35.84,200,35.84
467,-42,34.4,200,34.4
468,-50,34.285,200,34.285
469,-38,37.065,200,37.065
470,-74,32.375,200,32.375
471,-42,34.4,200,34.4
472,-50,34.285,200,34.285
473,-54,35.375,200,35.375
474,-38,37.065,200,37.065
475,-38,37.065,200,37.065
476,-38,37.065,200,37.065
477,-42,34.4,200,34.4
478,-42,34.4,200,34.4
479,-62,33.175,200,33.175
480,-38,37.065,200,37.065
481,-46,36.0,200,36.0
482,-105,33.98,200,33.98
483,-42,34.4,200,34.4
484,-54,33.775,200,33.775
485,-108,34.09,200,34.09
486,-50,34.285,200,34.285
487,-42,34.4,200,34.4
488,-62,33.39,200,33.39
489,-54,33.775,200,33.775
490,-42,34.4,200,34.4
491,-42,34.4,200,34.4
492,-64,32.915,200,32.915
493,-42,34.4,200,34.4
494,-58,34.185,200,34.185
495,-42,34.4,200,34.4
496,-70,33.055,200,33.055
497,-64,35.31,200,35.31
498,-42,34.4,200,34.4
499,-42,34.4,200,34.4
500,-42,34.4,200,34.4
501,-42,34.4,200,34.4
502,-46,36.0,200,36.0
503,-50,34.285,200,34.285
504,-50,34.285,200,34.285
505,-42,34.4,200,34.4
506,-42,34.4,200,34.4
507,-42,34.4,200,34.4
508,-72,33.505,200,33.505
509,-54,35.67,200,35.67
510,-46,36.0,200,36.0
511,-72,32.565,200,32.565
512,-106,34.265,200,34.265
513,-108,35.64,200,35.64
514,-42,34.4,200,34.4
515,-42,34.4,200,34.4
516,-42,34.4,200,34.4
517,-42,34.4,200,34.4
518,-68,33.24,200,33.24
519,-42,34.4,200,34.4
520,-68,32.415,200,32.415
